ultrasound6_weeks_gestation_drop,birth_history,,dropdown,6th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=6
ultrasound6_normal_bool,birth_history,,radio,6th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=6
ultrasound6_spec,birth_history,,notes,6th ultrasound significant for,,,,,,,([ultrasound6_normal_bool] ='2'  or  [ultrasound6_normal_bool] ='3') and [ultrasound_no]>=6
ultrasound7_weeks_gestation_drop,birth_history,,dropdown,7th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=7
ultrasound7_normal_bool,birth_history,,radio,7th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=7
ultrasound7_spec,birth_history,,notes,7th ultrasound significant for,,,,,,,([ultrasound7_normal_bool] ='2'  or  [ultrasound7_normal_bool] ='3') and [ultrasound_no]>=7
ultrasound8_weeks_gestation_drop,birth_history,,dropdown,8th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=8
ultrasound8_normal_bool,birth_history,,radio,8th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=8
ultrasound8_spec,birth_history,,notes,8th ultrasound significant for,,,,,,,([ultrasound8_normal_bool] ='2'  or  [ultrasound8_normal_bool] ='3') and [ultrasound_no]>=8
ultrasound9_weeks_gestation_drop,birth_history,,dropdown,9th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=9
ultrasound9_normal_bool,birth_history,,radio,9th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=9
ultrasound9_spec,birth_history,,notes,9th ultrasound significant for,,,,,,,([ultrasound9_normal_bool] ='2'  or  [ultrasound9_normal_bool] ='3') and [ultrasound_no]>=9
ultrasound10_weeks_gestation_drop,birth_history,,dropdown,10th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=10
ultrasound10_normal_bool,birth_history,,radio,10th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=10
ultrasound10_spec,birth_history,,notes,10th ultrasound significant for,,,,,,,([ultrasound10_normal_bool] ='2'  or  [ultrasound10_normal_bool] ='3') and [ultrasound_no]>=10
ultrasound_increased_reason,birth_history,,text,Reason for increased number of ultrasounds?,,,,,,,(([ultrasound1_normal_bool] = '1' or [ultrasound1_normal_bool] = '') and ([ultrasound2_normal_bool] = '1' or [ultrasound2_normal_bool] = '')  and ([ultrasound3_normal_bool] = '1' or [ultrasound3_normal_bool] = '')  and ([ultrasound4_normal_bool] = '1' or [ultrasound4_normal_bool] = '')  and ([ultrasound5_normal_bool] = '1' or [ultrasound5_normal_bool] = '')  and ([ultrasound6_normal_bool] = '1' or [ultrasound6_normal_bool] = '') and ([ultrasound7_normal_bool] = '1' or [ultrasound7_normal_bool] = '')  and ([ultrasound8_normal_bool] = '1' or [ultrasound8_normal_bool] = '')  and ([ultrasound9_normal_bool] = '1' or [ultrasound9_normal_bool] = '')  and ([ultrasound10_normal_bool] = '1' or [ultrasound10_normal_bool] = '')) and [ultrasound_no] >= 3
pn_exposure,birth_history,,checkbox,Prenatal exposures,"6, None | 1, Recreational drugs | 2, Alcohol | 3, Tobacco | 4, Infection | 5, Unknown/Not documented | 7, Other unknown exposures | 8, Other known exposures (specify below)",,,,,,
recreational_drug_exposure_group_no,birth_history,,text,How many recreational drug exposures would you like to enter (up to 5)?,,,,,,,[pn_exposure(1)] = '1'
pn_exposure_drug1,birth_history,,text,Specify 1st prenatal recreational drug exposure,,"(Drug, Drug amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(1)] = '1') and [recreational_drug_exposure_group_no]>=1
pn_exposure_drug2,birth_history,,text,Specify 2nd prenatal recreational drug exposure,,"(Drug, Drug amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(1)] = '1') and [recreational_drug_exposure_group_no]>=2
pn_exposure_drug3,birth_history,,text,Specify 3rd prenatal recreational drug exposure,,"(Drug, Drug amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(1)] = '1') and [recreational_drug_exposure_group_no]>=3
pn_exposure_drug4,birth_history,,text,Specify 4th prenatal recreational drug exposure,,"(Drug, Drug amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(1)] = '1') and [recreational_drug_exposure_group_no]>=4
pn_exposure_drug5,birth_history,,text,Specify 5th prenatal recreational drug exposure,,"(Drug, Drug amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(1)] = '1') and [recreational_drug_exposure_group_no]>=5
pn_exposure_alc_spec,birth_history,,notes,"Specify prenatal alcohol exposure
(Alcohol amount, time of exposure, duration of exposure)",,,,,,,[pn_exposure(2)] = '1'
pn_exposure_tob_spec,birth_history,,notes,"Specify prenatal tobacco exposures
(Tobacco amount, time of exposure, duration of exposure)",,,,,,,[pn_exposure(3)] = '1'
pn_exposure_inf_spec,birth_history,,notes,"Specify prenatal infection exposures
(Infection, time of exposure, duration of exposure, treatment)",,,,,,,[pn_exposure(4)] = '1'
prenatal_exposure_group_no,birth_history,,text,How many prenatal exposures would you like to enter (up to 5)?,,,,,,,[pn_exposure(8)] = '1'
pn_exposure_other_spec1,birth_history,,text,Specify 1st other prenatal exposure,,"(exposure, exposure amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(8)] = '1') and [prenatal_exposure_group_no]>=1
pn_exposure_other_spec2,birth_history,,text,Specify 2nd other prenatal exposure,,"(exposure, exposure amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(8)] = '1') and [prenatal_exposure_group_no]>=2
pn_exposure_other_spec3,birth_history,,text,Specify 3rd other prenatal exposure,,"(exposure, exposure amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(8)] = '1') and [prenatal_exposure_group_no]>=3
pn_exposure_other_spec4,birth_history,,text,Specify 4th other prenatal exposure,,"(exposure, exposure amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(8)] = '1') and [prenatal_exposure_group_no]>=4
pn_exposure_other_spec5,birth_history,,text,Specify 5th other prenatal exposure,,"(exposure, exposure amount, time of exposure, duration of pregnancy)",,,,,([pn_exposure(8)] = '1') and [prenatal_exposure_group_no]>=5
maternal_screening,birth_history,,radio,Maternal serum screening,"1, Normal | 2, Abnormal | 3, Not performed | 5, Not determined | 4, Unknown/Not documented",,,,,,
maternal_serum_type,birth_history,,radio,Type of maternal serum screening,"1, Triple screen (AFP, hCG, uE3) | 2, Quad screen (AFP, hCG, uE3, Inhibin) | 3, 1st trimester (PAPP-A and hCG) with nuchal translucency | 4, Serum integrated screening - combined 1st trimester and 2nd trimester quad serum screen without nuchal translucency | 5, Sequential integrating screening - combined 1st and 2nd trimester quad serum screen with nuchal translucency | 6, Unknown | 7, Other",,,,,,[maternal_screening] = '2'
maternal_serum_type_other_dtls,birth_history,,text,Please specify other Type of maternal serum screening,,,,,,,[maternal_serum_type]='7'
maternal_serum_spec,birth_history,,notes,Maternal serum screening revealed,,,,,,,[maternal_screening] = '2'
cvs,birth_history,,radio,CVS,"1, Normal | 2, Abnormal | 3, Not performed | 6, Not determined | 5, Recommended but declined | 4, Unknown/Not documented",,,,,,
cvs_spec,birth_history,,notes,CVS revealed,,,,,,,[cvs] = '2'
amniocentesis,birth_history,,radio,Amniocentesis,"1, Normal | 2, Abnormal | 3, Not performed | 6, Not determined | 5, Recommended but declined | 4, Unknown/Not documented",,,,,,
amniocentesis_spec,birth_history,,notes,Amniocentesis revealed,,,,,,,[amniocentesis] = '2'
fetal_activity,birth_history,,radio,Fetal activity was,"1, Normal | 2, Reduced | 3, Unknown/Not documented",,,,,,
apgar_1,birth_history,,dropdown,Apgar score at 1 minute of life,"1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8 | 10, 9 | 11, 10 | 12, Not performed | 13, Unknown/Not documented",,,,,,
apgar_5,birth_history,,dropdown,Apgar score at 5 minutes of life,"1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8 | 10, 9 | 11, 10 | 12, Not performed | 13, Unknown/Not documented",,,,,,
neonatal_complications_bool,birth_history,,radio,Neonatal complications,"1, Yes | 2, No | 3, Unknown/Not documented",,,,,,
neonatal_complications_spec,birth_history,,text,Neonatal complications included,,,,,,,[neonatal_complications_bool] = '1'
newborn_hearing_screen,birth_history,,radio,Newborn hearing screening,"1, Normal | 2, Abnormal | 3, Not performed | 5, Not determined | 4, Unknown/Not document",,,,,,
newborn_hearing_screen_ears_failed,birth_history,,radio,Failed ear,"1, Left | 2, Right | 3, Both | 4, Unknown/Not documented",,,,,,[newborn_hearing_screen] = '2'
newborn_metabolic_screening,birth_history,,radio,Newborn metabolic screening,"1, Normal | 2, Abnormal | 3, Not performed | 5, Not determined | 4, Unknown/Not documented",,,,,,
newborn_metabolic_screening_spec,birth_history,,notes,Describe abnormal newborn metabolic screening,,,,,,,[newborn_metabolic_screening] = '2'
dol_went_home,birth_history,,text,Baby went home on day of life ,,,number,,,,
birth_history_feedback,birth_history,Feedback,notes,"Please provide any feedback for this form (for example: missing questions, questions not relevant for a disease area, ambiguities, places where a textbox could be replaced with discrete choices, missing discrete choices)",,,,,,,
genetic_tests_performed,prior_genetic_testing,Genetic Testing,checkbox,Genetic tests performed,"6, None | 1, Karyotype | 2, Microarray | 3, Sequence analysis of a single nuclear gene or group of nuclear genes | 8, Deletion or duplication analysis of a single nuclear gene or group of nuclear genes | 4, Nuclear exome/Genome sequencing | 5, Mitochondrial DNA analysis | 9, Methylation analysis | 10, Testing for Fragile X Syndrome | 7, Other",,,,,,
karyotype_date,prior_genetic_testing,Karyotype,text,Year of Karyotype,,Please specify four digit year,number,,,,[genetic_tests_performed(1)] = '1'
karyotype_tissue,prior_genetic_testing,,radio,Karyotype tissue studied,"1, Amniotic fluid | 2, Blood | 3, Chorionic villi | 4, Fibroblasts | 5, Saliva | 6, Unknown/Not documented | 7, Other",,,,,,[genetic_tests_performed(1)] = '1'
karyotype_tissue_other_dtls,prior_genetic_testing,,text,Specify other tissue studied,,,,,,,[karyotype_tissue]='7'
karyotype_result,prior_genetic_testing,,radio,Karyotype result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,[genetic_tests_performed(1)] = '1'
karyotype_result_details,prior_genetic_testing,,checkbox,Specify karyotype abnormalities,"1, Balanced reciprocal translocation | 2, Balanced Robertsonian translocation | 3, Delete | 4, Duplication | 5, Extra marker chromosome | 6, Trisomy 13 | 7, Trisomy 18 | 8, 22q11 deletion | 9, 45,  X | 10, 47, XXX | 11, 47, XXY | 12, 47, XYY | 13, Paracentric inversion | 14, Pericentric inversion | 15, Structural X chromosome | 16, Structural Y chromosome | 17, Unbalanced reciprocal translocation | 18, Unbalanced Robertsonian translocation | 19, Other",,,,,,[karyotype_result] = '2'
karyotype_spec,prior_genetic_testing,,notes,Specify other karyotype abnormalities,,,,,,,[karyotype_result_details(19)] = '1'
karyotype_location,prior_genetic_testing,,text,Lab where Karyotype was performed,,,,,,,[genetic_tests_performed(1)] = '1'
microarray_group_no,prior_genetic_testing,Microarrays,text,How many microarrays would you like to enter (up to 3)?,,,,,,,[genetic_tests_performed(2)] = '1'
microarray1_date,prior_genetic_testing,,text,Year of 1st microarray,,Please specify four digit year,,,,,([genetic_tests_performed(2)] = '1') and [microarray_group_no]>=1
microarray1_type,prior_genetic_testing,,radio,1st Microarray type,"1, Oligonucleotide by aCGH | 2, SNP | 3, Targeted BAC | 4, Whole genomic BAC | 5, Unknown | 6, Other",,,,,,([genetic_tests_performed(2)] = '1') and [microarray_group_no]>=1
microarray1_type_spec,prior_genetic_testing,,text,Specify 1st microarray type,,,,,,,([microarray1_type] = '6') and [microarray_group_no]>=1
microarray1_platform,prior_genetic_testing,,dropdown,1st microarray platform,"1, Affymetrix | 2, Agilent | 3, Illumina | 4, Nimblegen | 5, Unknown/Not documented | 6, Other",,,,,,([genetic_tests_performed(2)] = '1') and [microarray_group_no]>=1
microarray1_platform_other_dtls,prior_genetic_testing,,text,Specify 1st microarray platform,,,,,,,([microarray1_platform]='6') and [microarray_group_no]>=1
microarray1_variant_group_no,prior_genetic_testing,,text,How many variants would you like to enter (up to 5)?,,,,,,,([genetic_tests_performed(2)] = '1') and [microarray_group_no]>=1
microarray1_variant1_type,prior_genetic_testing,,radio,Type of 1st variant on 1st microarray,"1, Deletion | 2, Duplication | 3, Run of homozygosity | 4, Unknown",,,,,,([genetic_tests_performed(2)] = '1') and [microarray1_variant_group_no]>=1
microarray1_variant1_chromosome,prior_genetic_testing,,dropdown,1st variant (on 1st microarray) on chromosome,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, X | 24, Y",,,,,,([genetic_tests_performed(2)] = '1') and [microarray1_variant_group_no]>=1
microarray1_variant2_type,prior_genetic_testing,,radio,Type of 2nd variant on 1st microarray,"1, Deletion | 2, Duplication | 3, Run of homozygosity | 4, Unknown",,,,,,([genetic_tests_performed(2)] = '1') and [microarray1_variant_group_no]>=2
microarray1_variant2_chromosome,prior_genetic_testing,,dropdown,2nd variant (on 1st microarray) on chromosome,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, X | 24, Y",,,,,,([genetic_tests_performed(2)] = '1') and [microarray1_variant_group_no]>=2
